run_id,resize_number,old_capacity,new_capacity,gamma_effective,size,trigger_load,alpha_pre,alpha_post,moved_entries,pair_collisions_after,old_hash_a,old_hash_b,new_hash_a,new_hash_b
n1000-g3-t0.8-r1-h31042,1,11,37,3.3636363636363638,8,0.8181818181818182,0.7272727272727273,0.21621621621621623,8,0,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g3-t0.8-r1-h31042,2,37,113,3.054054054054054,29,0.8108108108108109,0.7837837837837838,0.25663716814159293,29,1,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g3-t0.8-r1-h31042,3,113,347,3.0707964601769913,90,0.8053097345132744,0.7964601769911505,0.25936599423631124,90,12,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g3-t0.8-r1-h31042,4,347,1049,3.0230547550432276,277,0.8011527377521613,0.7982708933717579,0.2640610104861773,277,30,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g3-t0.8-r1-h31042,5,1049,3163,3.015252621544328,839,0.8007626310772163,0.7998093422306959,0.26525450521656657,839,100,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.5-t0.7-r1-h31042,1,11,17,1.5454545454545454,7,0.7272727272727273,0.6363636363636364,0.4117647058823529,7,3,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.5-t0.7-r1-h31042,2,17,29,1.7058823529411764,11,0.7058823529411765,0.6470588235294118,0.3793103448275862,11,4,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.5-t0.7-r1-h31042,3,29,47,1.6206896551724137,20,0.7241379310344828,0.6896551724137931,0.425531914893617,20,3,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g1.5-t0.7-r1-h31042,4,47,71,1.5106382978723405,32,0.7021276595744681,0.6808510638297872,0.4507042253521127,32,7,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
n1000-g1.5-t0.7-r1-h31042,5,71,107,1.5070422535211268,49,0.704225352112676,0.6901408450704225,0.45794392523364486,49,12,289208513342756656,1737239256259392775,1175790274723732104,1110046690991243311
n1000-g1.5-t0.7-r1-h31042,6,107,163,1.5233644859813085,74,0.7009345794392523,0.6915887850467289,0.4539877300613497,74,19,1175790274723732104,1110046690991243311,2223751552928785042,585906322912266558
n1000-g1.5-t0.7-r1-h31042,7,163,251,1.539877300613497,114,0.7055214723926381,0.6993865030674846,0.4541832669322709,114,26,2223751552928785042,585906322912266558,216001057262141823,1258409179699703360
n1000-g1.5-t0.7-r1-h31042,8,251,379,1.5099601593625498,175,0.701195219123506,0.6972111553784861,0.46174142480211083,175,47,216001057262141823,1258409179699703360,1818499928968777257,1871060345558551550
n1000-g1.5-t0.7-r1-h31042,9,379,569,1.5013192612137203,265,0.7018469656992085,0.6992084432717678,0.46572934973637964,265,50,1818499928968777257,1871060345558551550,842103669965125932,1719460426985524411
n1000-g1.5-t0.7-r1-h31042,10,569,857,1.5061511423550087,398,0.7012302284710018,0.6994727592267135,0.4644107351225204,398,76,842103669965125932,1719460426985524411,663312402986563884,1147830989259873065
n1000-g1.5-t0.7-r1-h31042,11,857,1289,1.5040840140023337,599,0.7001166861143524,0.6989498249708285,0.46470131885182314,599,136,663312402986563884,1147830989259873065,530133399472470732,283097919641614406
n1000-g1.5-t0.7-r1-h31042,12,1289,1949,1.5120248254460822,902,0.7005430566330488,0.6997672614429791,0.4628014366341714,902,175,530133399472470732,283097919641614406,1055129681217370319,1286563909733345339
n1000-g1.25-t0.5-r1-h31042,1,11,17,1.5454545454545454,5,0.5454545454545454,0.45454545454545453,0.29411764705882354,5,1,1747481948824663489,1018574062632349030,1568554954941751187,1058122835884555215
n1000-g1.25-t0.5-r1-h31042,2,17,23,1.3529411764705883,8,0.5294117647058824,0.47058823529411764,0.34782608695652173,8,0,1568554954941751187,1058122835884555215,1066652072911828271,605471332473462994
n1000-g1.25-t0.5-r1-h31042,3,23,29,1.2608695652173914,11,0.5217391304347826,0.4782608695652174,0.3793103448275862,11,1,1066652072911828271,605471332473462994,1039257429923810267,1671058991692678914
n1000-g1.25-t0.5-r1-h31042,4,29,37,1.2758620689655173,14,0.5172413793103449,0.4827586206896552,0.3783783783783784,14,2,1039257429923810267,1671058991692678914,289208513342756656,1737239256259392775
